Requirement ID,Phase,Requirement,Control IDs,Threat IDs,Planned verification,Expected evidence,Owner,Status,Evidence link / notes
FND-006,PHASE-00_ENGINEERING_FOUNDATION,Ban floating-point money and direct `time.Now()` use in domain code.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-001; THR-029; THR-031,"Clean-tree architecture scan plus seeded violations for named float32/float64 money, aliased or dot-imported time.Now, and safe-control fixtures","s02-primitives-report; static-canary-transcript; architecture-policy-tests",Platform owner,Verified,"evidence/phase-00/primitives/S02-primitives-report.md; implementation dc638d2 and full post-commit revalidation at canonical-cleanup revision 240adbf; protected-CI wiring remains FND-020/S07"
FND-010,PHASE-00_ENGINEERING_FOUNDATION,"One command provisions PostgreSQL, Redis, broker, object storage, telemetry collector, identity provider, API, worker, simulator, and web application.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-019; THR-025; THR-042; THR-045,"Complete Compose graph; live readiness/smoke; bounded restart/teardown; exact wrapper clean-machine recheck",s04-environment-report; s04-post-commit-verification; s04-live-smoke; future-s08-clean-bootstrap,Platform owner,In progress,"Implementation 39121a3 passed revision-bound full/live verification via repaired Podman VM and equivalent podman-compose; exact scripts/s04.ps1 Up on a clean host remains S08 proof"
FND-011,PHASE-00_ENGINEERING_FOUNDATION,"Seed deterministic synthetic tenants, users, accounts, and provider scenarios.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-043; THR-045; THR-060,"Closed seed validation; fixed checksum/time/IDs; tenant-reference canary; future executable simulator contracts",s04-environment-report; s04-post-commit-verification; s04-seed-canary; future-provider-contract-report,Platform owner,In progress,"Deterministic identity/account labels and eight scenario IDs exist; no schema load or provider behavior is claimed before later slices"
FND-012,PHASE-00_ENGINEERING_FOUNDATION,Local environment has no dependency on production credentials or real services.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-020; THR-045,"Synthetic-only closed configuration plus real/public endpoint and development-key/wildcard canaries",s04-environment-report; s04-post-commit-verification; s04-config-canary,Platform owner,Verified,"Fixed loopback/Compose or reserved atlas.invalid endpoints and environment-scoped secret references; no real credentials/services"
FND-013,PHASE-00_ENGINEERING_FOUNDATION,Destructive reset requires explicit environment confirmation.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-019; THR-045,"Wrong/missing environment phrase; production-reference rejection; contained successful local reset",s04-environment-report; s04-post-commit-verification; s04-reset-canary,Platform owner,Verified,"Reset prints resolved target and accepts only exact RESET ATLAS LOCAL/TEST after containment checks"
FND-020,PHASE-00_ENGINEERING_FOUNDATION,"Pull requests run Go tests with race detector where appropriate, frontend tests, type checking, lint, contract lint, migrations, security scans, and secret scans.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-021,PHASE-00_ENGINEERING_FOUNDATION,"Integration tests use real PostgreSQL and broker containers, not mocked repositories.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-022,PHASE-00_ENGINEERING_FOUNDATION,"Generate SBOMs for backend, frontend, and container images.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-023,PHASE-00_ENGINEERING_FOUNDATION,Build immutable images tagged by source revision and digest.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-024,PHASE-00_ENGINEERING_FOUNDATION,Sign release artifacts and attach build provenance.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-025,PHASE-00_ENGINEERING_FOUNDATION,Run database migration checks against empty and previous-release schemas.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-026,PHASE-00_ENGINEERING_FOUNDATION,"Require code-owner review for ledger, authorization, migrations, cryptography, CI, and deployment paths.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-027,PHASE-00_ENGINEERING_FOUNDATION,Detect OpenAPI/AsyncAPI breaking changes.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-030,PHASE-00_ENGINEERING_FOUNDATION,"Define local, test, staging, and production-reference configurations.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-020; THR-042; THR-045; THR-060,"Strict typed decoding and four-environment set/drift/unknown-field validation",s04-environment-report; s04-post-commit-verification; environment-configuration-tests,Platform owner,Verified,"Closed local/test/staging/production-reference files validate as one unique set"
FND-031,PHASE-00_ENGINEERING_FOUNDATION,"No environment shares signing, encryption, database, identity, or merchant credentials.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-020; THR-023; THR-045,"Cross-environment reference uniqueness and generated local/test password/token fingerprint separation",s04-environment-report; s04-post-commit-verification; credential-fingerprint-test; future-secret-rotation-report,Platform owner,In progress,"Reference and developer-runtime separation pass without exposing values; staging/production provision/rotation/restore remains S07/S08"
FND-032,PHASE-00_ENGINEERING_FOUNDATION,Environment banners and synthetic-data labels are visible in every non-production UI.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-045; THR-046; THR-047,"All-shell live smoke and real-browser banner/logout/back-forward/no-storage proof",s04-environment-report; s04-post-commit-verification; s04-browser-report; s04-customer-shell,Platform owner,Verified,"Customer/merchant/workforce route shells share a persistent runtime synthetic banner and no product state"
FND-033,PHASE-00_ENGINEERING_FOUNDATION,"Feature flags identify owner, expiry, default, risk classification, and rollback behaviour.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-024; THR-036; THR-042; THR-059,"Metadata negative matrix; unknown/high-risk rejection; concurrent reads; source-outage default; rollback metadata",s04-environment-report; s04-post-commit-verification; feature-flag-tests,Platform owner,Verified,"Only low-risk foundation.synthetic-shells exists; financial-state flags remain prohibited"
FND-040,PHASE-00_ENGINEERING_FOUNDATION,"Propagate request ID, correlation ID, and trace context from edge through API, worker, simulator, database spans, and events.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-009; THR-015; THR-030; THR-060,"API request/correlation/W3C trace validation, hostile-metadata fuzzing, and API-to-readiness span linkage; future database/event/worker/simulator propagation",s03-http-foundation-report; s03-golden-trace; s03-post-commit-verification; future full-stack golden trace,Platform owner,In progress,"evidence/phase-00/http/S03-post-commit-verification.md; API edge facet only; no database, events, worker, simulator, or runtime exporter"
FND-041,PHASE-00_ENGINEERING_FOUNDATION,Structured logs have source redaction and injection-safe encoding.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-042,PHASE-00_ENGINEERING_FOUNDATION,"Establish baseline RED metrics, database pool metrics, queue lag, worker retries, and build/deploy metadata.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-043,PHASE-00_ENGINEERING_FOUNDATION,Create a “golden synthetic request” trace used as an observability smoke test.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-009; THR-030; THR-042; THR-060,"Deterministic /health/ready server/readiness-child trace with safe closed attributes and telemetry-degradation test; future full-stack exported trace",s03-http-foundation-report; s03-golden-trace; s03-post-commit-verification; future observability smoke report,Platform owner,In progress,"evidence/phase-00/http/S03-post-commit-verification.md; in-memory API seed only; collector/exporter and full path deferred"
FND-050,PHASE-00_ENGINEERING_FOUNDATION,"Complete system context, data-flow, trust-boundary, and initial STRIDE threat model.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-051,PHASE-00_ENGINEERING_FOUNDATION,Define data classification and logging rules.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-052,PHASE-00_ENGINEERING_FOUNDATION,Establish secret-management abstraction and rotation procedure.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-053,PHASE-00_ENGINEERING_FOUNDATION,"Add secure HTTP headers, body limits, timeouts, CORS defaults, and safe error handling.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-010; THR-041; THR-042; THR-043,"Secure-header/cache/CORS matrix, streamed and declared body limits, compression/query rejection, server/readiness deadlines, slow-header test, route inventory, and panic/detail non-disclosure",s03-http-foundation-report; s03-header-scan; s03-migration-lag; s03-post-commit-verification,Platform owner,Verified,"evidence/phase-00/http/S03-post-commit-verification.md; requirement-scoped API-edge proof; deployment-proxy revalidation remains S07/S08"
FND-054,PHASE-00_ENGINEERING_FOUNDATION,Pin and verify third-party dependencies; document update policy.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-060,"Exact Go/Bun/React and service-tag verification now; future digest/SBOM/scan/action/emergency-update checks in S07",toolchain-policy; s01-boundary-report-v3; s04-environment-report; future-ci-supply-chain-report,Platform owner,In progress,"Go/Bun/React and exact S04 image tags are pinned with frozen install/static policy; immutable digests, scanning, CI actions, and update automation remain absent"
FND-055,PHASE-00_ENGINEERING_FOUNDATION,Create vulnerability disclosure and dependency emergency-update runbooks.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-060,PHASE-00_ENGINEERING_FOUNDATION,"Separate migration, API, worker, reporting-read, and break-glass database roles.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-061,PHASE-00_ENGINEERING_FOUNDATION,Application roles cannot alter schema.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-062,PHASE-00_ENGINEERING_FOUNDATION,Migration files are immutable after release.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-063,PHASE-00_ENGINEERING_FOUNDATION,"Every migration has lock-risk analysis, forward-fix plan, and test against representative data.",GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
FND-064,PHASE-00_ENGINEERING_FOUNDATION,Configure backup and point-in-time recovery in the reference environment.,GOV-01; GOV-02; SDLC-01; SDLC-02; SDLC-03; SDLC-04; OPS-01; REL-02,THR-013; THR-014; THR-019; THR-030; THR-042; THR-060,"CI, integration, migration, supply-chain, restore, and observability smoke tests",ci-report; sbom; provenance; migration-report; restore-report,Platform owner,Planned,
HLD-001,PHASE-04_WALLETS_BALANCES_HOLDS,"Hold command requires purpose, amount, currency, expiry, idempotency, actor, and correlation.",FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
HLD-002,PHASE-04_WALLETS_BALANCES_HOLDS,"Lock balance row, verify availability, create hold, update held/available projection, audit, and outbox atomically.",FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
HLD-003,PHASE-04_WALLETS_BALANCES_HOLDS,Hold cannot exceed available funds or product/transaction limits.,FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
HLD-004,PHASE-04_WALLETS_BALANCES_HOLDS,Duplicate purpose or idempotency key cannot reserve twice.,FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
HLD-005,PHASE-04_WALLETS_BALANCES_HOLDS,Expiry uses server clock abstraction and is safe under worker duplication.,FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
HLD-010,PHASE-04_WALLETS_BALANCES_HOLDS,Capture amount cannot exceed remaining hold.,FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
HLD-011,PHASE-04_WALLETS_BALANCES_HOLDS,Capture and associated journal/business transition occur atomically.,FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
HLD-012,PHASE-04_WALLETS_BALANCES_HOLDS,Release only returns remaining amount to availability.,FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
HLD-013,PHASE-04_WALLETS_BALANCES_HOLDS,Capture/release is idempotent by command key and business reference.,FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
HLD-014,PHASE-04_WALLETS_BALANCES_HOLDS,"Competing capture, release, and expiry operations serialize through version/row lock.",FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
HLD-015,PHASE-04_WALLETS_BALANCES_HOLDS,A business flow cannot capture a hold created for another purpose.,FIN-01; FIN-04; FIN-05; FIN-06,THR-002; THR-003; THR-024; THR-029; THR-044,"Hold state-machine, capture/release/expiry races, balance projection and cache-staleness tests",hold-model-report; concurrency-traces,Ledger owner,Planned,
IAM-001,PHASE-01_IDENTITY_ACCESS_TENANCY,"Validate issuer, audience, state, nonce, PKCE, redirect URI, and token timing.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-002,PHASE-01_IDENTITY_ACCESS_TENANCY,"Rotate application session at login, step-up, privilege change, and tenant switch.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-003,PHASE-01_IDENTITY_ACCESS_TENANCY,Enforce idle and absolute timeouts by identity population.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-004,PHASE-01_IDENTITY_ACCESS_TENANCY,"Support logout, session revocation, “log out all sessions,” and admin security revocation with audit.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-005,PHASE-01_IDENTITY_ACCESS_TENANCY,Do not reveal whether an account exists in authentication/recovery error copy.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-006,PHASE-01_IDENTITY_ACCESS_TENANCY,"Require fresh step-up for payout, beneficiary activation, contact change, merchant secret creation, refund, restriction removal, privileged export, and approval decision.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-007,PHASE-01_IDENTITY_ACCESS_TENANCY,"If the IdP is unavailable, existing low-risk sessions may follow a documented degraded policy; no new high-risk action bypasses step-up.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-010,PHASE-01_IDENTITY_ACCESS_TENANCY,Every tenant-owned row includes tenant ID or a documented global scope.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-011,PHASE-01_IDENTITY_ACCESS_TENANCY,Every repository query for tenant resources requires tenant context in its function signature.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-012,PHASE-01_IDENTITY_ACCESS_TENANCY,Database query tests detect missing tenant predicates.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-013,PHASE-01_IDENTITY_ACCESS_TENANCY,Cross-tenant object identifiers return a safe not-found/denied response according to enumeration policy.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-014,PHASE-01_IDENTITY_ACCESS_TENANCY,"Invitations expire, are single-use, and cannot grant a role higher than the inviter may delegate.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-015,PHASE-01_IDENTITY_ACCESS_TENANCY,Removing a membership revokes active tenant access immediately or within a documented maximum.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-020,PHASE-01_IDENTITY_ACCESS_TENANCY,Define permission catalog and role-permission matrix in source control.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-021,PHASE-01_IDENTITY_ACCESS_TENANCY,Deny by default.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-022,PHASE-01_IDENTITY_ACCESS_TENANCY,"Enforce object, action, field, and tenant checks server-side.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-023,PHASE-01_IDENTITY_ACCESS_TENANCY,Sensitive list and search endpoints apply authorization before pagination counts and suggestions.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-024,PHASE-01_IDENTITY_ACCESS_TENANCY,Return masked fields according to permission and purpose.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-025,PHASE-01_IDENTITY_ACCESS_TENANCY,Authorization decision emits a decision ID for privileged or denied high-risk actions.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-026,PHASE-01_IDENTITY_ACCESS_TENANCY,"Policy cache invalidates on role, restriction, or session-assurance changes.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-030,PHASE-01_IDENTITY_ACCESS_TENANCY,"Create generic approval object with action type, target, immutable requested payload hash, maker, eligible checker policy, expiry, status, and reason.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-031,PHASE-01_IDENTITY_ACCESS_TENANCY,"Maker cannot approve own request through UI, API, replay, or role change.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-032,PHASE-01_IDENTITY_ACCESS_TENANCY,Payload cannot change after approval without invalidating approval.,IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-033,PHASE-01_IDENTITY_ACCESS_TENANCY,"Approval execution rechecks permissions, step-up, resource state, and policy at execution time.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-034,PHASE-01_IDENTITY_ACCESS_TENANCY,"Expired, rejected, cancelled, or superseded approval cannot execute.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
IAM-040,PHASE-01_IDENTITY_ACCESS_TENANCY,"Merchant API credential has name, client ID/key ID, secret shown once, hash or encrypted material, scopes, tenant, environment, expiry, last-used metadata, status, and rotation link.",IAM-01; IAM-02; IAM-03; IAM-04; IAM-05; IAM-06,THR-005; THR-006; THR-007; THR-008; THR-023; THR-037; THR-038; THR-039,Authentication/session tests and full tenant/object/action/field authorization matrix,auth-report; authorization-matrix; audit-events,Identity owner,Planned,
